"kv483","f0178900.jpg","A III 2028:251","","hiili paperille","hiili, paperi","60","47","","Finlands Nationalgalleri",""
"kv490","f0181300.jpg","A III 2028:320","","lyijykynä ja tussi","lyijykynä, tussi, paperi","30","23","","",""
"kv496","f0182000.jpg","A III 2028:317","","lyijykynä","lyijykynä, paperi","23","37","","",""
"kv497","f0182001.jpg","A III 2028:317","","lyijykynä","lyijykynä, paperi","23","37","","",""
"kv507","f0183100.jpg","A III 2028:186","","lyijykynä","lyijykynä, paperi","22","36","","",""
"kv516","f0183900.jpg","A III 2022:71","","vesiväri","vesiväri, paperi","38","28","","",""
"kv522","f0184500.jpg","A III 2028:247","","","lyijykynä?, paperi","35","35","","",""
"kv549","f0187200.jpg","A II 1306","FIGUURI; ryhmä; lapset; laituri; sylissäpito","lyijykynä","lyijykynä, paperi","39","46","","Finlands Nationalgalleri",""
"kv555","f0187800.jpg","A II 1321","MUOTOKUVA; nainen; mme Saussine; rintakuva","lyijykynä","lyijykynä, paperi","49","32","","Finlands Nationalgalleri",""
"kv576","f0198200.jpg","A III 2028:56","","lyijykynä","lyijykynä, paperi","55","45","","",""
"kv579","f0198400.jpg","A III 2028:327","","lyijykynä","lyijykynä, paperi","12","7","","","781"
"kv583","f0199700.jpg","A III 2028:275","","hiili","hiili, paperi","49","32","","",""
"kv588","f0200900.jpg","A II 1519:19","","tussi ja lyijykynä","tussi, lyijykynä, paperi","29","22","","Finlands Nationalgalleri",""
